Date Photo;Code;Name;Short Name;Name En;IsArchived;Start date;End date;LocationType_Id;LocationType;Street;Street2;Postal Code;Locality;Longitude;Latitude;Id
21/03/2023;3;;;;True;01/01/1999;10/10/2017;16099;SITE TERTIAIRE- BUREAUX;;;;;0;0;13200
21/03/2023;4;;;;True;01/01/1999;18/05/2021;16099;SITE TERTIAIRE- BUREAUX;;;;;0;0;13201
21/03/2023;6;;;;True;01/01/1999;31/03/2019;16099;SITE TERTIAIRE- BUREAUX;;;;;0;0;13202
